Time,F_Scale,Location,County,State,Lat,Lon,Comments
2309,UNK,2 ENE Clinton,Henry,MO,38.38,-93.75,Tornado reported on the ground by storm chaser. (EAX)
Time,Speed,Location,County,State,Lat,Lon,Comments
1734,UNK,1 SE Lake Manitou,Fulton,IN,41.05,-86.17,Emergency Management reports portions of a flat roof at Elks Lodge ripped off. Time estimated by radar. (IWX)
1948,60,1 SW Cherryvale,Montgomery,KS,37.26,-95.57,Location estimated. (ICT)
1957,UNK,1 NNW Parsons Tri City,Montgomery,KS,37.35,-95.52,Semi was blown over on US 400 just east of US 169. (ICT)
2000,UNK,5 SE Mcclure,Henry,OH,41.32,-83.88,Barn collapse. (IWX)
2003,UNK,1 SSE Milton Center,Wood,OH,41.28,-83.81,Tree downed partially onto a moving car on OH 281 between Milton Road and Weston Road outside of Custar. (CLE)
2003,UNK,Milton Center,Wood,OH,41.3,-83.83,Tree and power-lines downed. Time estimated via radar. (CLE)
2008,UNK,Custar,Wood,OH,41.29,-83.84,Collapsed barn. Time estimated via radar. (CLE)
2012,UNK,Bowling Green,Wood,OH,41.37,-83.65,Tree and power-lines downed in Bowling Green. (CLE)
2026,UNK,Tiffin,Seneca,OH,41.12,-83.18,Corrects previous tstm wnd dmg report from Tiffin. Straight line wind damage... several power poles (6-8) knocked down. (CLE)
2030,70,1 N Martin,Ottawa,OH,41.55,-83.34,70mph wind gusts. (CLE)
2105,UNK,Tiffin,Seneca,OH,41.12,-83.18,Corrects previous tstm wnd dmg report from Tiffin. Straight line wind damage... several power poles (6-8) knocked down. (CLE)
2107,62,Pleasanton,Linn,KS,38.18,-94.71,(EAX)
2110,UNK,1 NNW Solon,Cuyahoga,OH,41.4,-81.45,Significant storm damage in Solon from a combination of wind and hail. Numerous trees were downed with some falling onto houses. Damage to siding and windows due to win (CLE)
2118,UNK,5 N Hiram,Geauga,OH,41.39,-81.13,Several trees down. Time estimated via radar. (CLE)
2135,UNK,Columbus,Cherokee,KS,37.16,-94.84,Tree down... road closed due to storm damage. (SGF)
2136,UNK,Columbus,Cherokee,KS,37.17,-94.85,Trees and powerlines down as well as considerable hail damage. (SGF)
2140,69,3 SW Paola,Miami,KS,38.55,-94.91,PWS measured wind gust... time estimated from radar. (EAX)
2145,UNK,Crestline,Cherokee,KS,37.18,-94.7,Powerlines down. (SGF)
2148,UNK,Bristolville,Trumbull,OH,41.39,-80.87,Significant damage from a combination of wind and hail in Bristolville... including downed trees and power polls along with damage to siding... roofs and windows. (CLE)
2148,UNK,Lewis Run,McKean,PA,41.87,-78.66,Trees and wires down near Lewis Run. (CTP)
2151,UNK,2 N Lewis Run,McKean,PA,41.9,-78.65,Trees and wires down near Custer City. (CTP)
2156,65,4 SSE Woodson,Throckmorton,TX,32.96,-99.02,65 mph winds from a storm southeast of Woodson along county line. Reported by Woodson VFD. (SJT)
2200,UNK,2 SSW Cortland,Trumbull,OH,41.31,-80.73,Tree down. (CLE)
2208,UNK,1 NE Cortland,Trumbull,OH,41.34,-80.71,Numerous branches broken. (CLE)
2210,UNK,Hartford,Trumbull,OH,41.31,-80.57,Several trees downed in Hartford Twp. (CLE)
2212,UNK,Coryville,McKean,PA,41.89,-78.39,Trees and wires down near Coryville. (CTP)
2215,UNK,3 W Greenville,Mercer,PA,41.41,-80.44,Several reports of trees and wires down in West Salem Township. Time estimated from radar. (PBZ)
2222,UNK,4 SSW Greenville,Mercer,PA,41.35,-80.4,Report from 511PA of tree down on W Kidds Mill Rd near Reynolds Industrial Park Rd. Time estimated based off radar. (PBZ)
2222,UNK,2 SSW Greenville,Mercer,PA,41.38,-80.4,Trees down. (PBZ)
2226,UNK,Tiffin,Seneca,OH,41.12,-83.18,Straight line wind damage... several power poles (6-8) knocked down. (CLE)
2228,UNK,3 ESE Prathersville,Clay,MO,39.29,-94.22,Damaged pole and downed wires south of Excelsior Springs. Time estimated from radar. (EAX)
2229,UNK,1 NE Tindall,Grundy,MO,40.17,-93.6,Downed wires near Mica Lane. Time estimated from radar. (EAX)
2240,UNK,Stoneboro,Mercer,PA,41.34,-80.11,Several reports of trees and wires down. Time estimated from radar. (PBZ)
2242,64,1 ENE Graham,Young,TX,33.11,-98.56,KRPH. Time estimated from radar. (FWD)
2245,UNK,Hiram,Portage,OH,41.31,-81.14,Two downed trees in Hiram. (CLE)
